"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"ASOCIACION DE PERSONAS SORDAS DE 
NAVARRA","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","1.980,00"
"AUZON LAGUN, S. COOP","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","1.980,00"
"AVANVIDA, S.L","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","3.960,00"
"BOLSAI S.L","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","1.980,00"
"CÁMARA","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","30.718,83"
"CASA MISERICORDIA DE PAMPLONA","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","1.980,00"
"CEDERNA GARALUR","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","66.851,17"
"CEIN","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","242.788,06"
"CEN","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","409.608,78"
"CENTRO SERV. INT. SANCHEZ S.A.L","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","1.980,00"
"CLINICA DENTAL LA VAGUADA, S.L","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","1.980,00"
"CONSORCIO ZONA MEDIA","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","31.948,95"
"CORSETERIA, CONFEC, LENCERIA Y BA?O 
VIRGINIA S.L","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","2.970,00"
"ECUS BAZTAN BEORLEGUI S.L","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","1.980,00"
"EDER","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","22.302,25"
"FERRAZ DIFUSION MODA, S.A","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","1.980,00"
"FINCARED 1, S.L","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","1.980,00"
"GARAGE IRUÑA S.A","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","1.980,00"
"GAZTELAN","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","82.011,41"
"GESTION SOCIAL SAN ADRIAN S.A","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","3.960,00"
"HARINAS URDANOZ S.A","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","1.980,00"
"INDUSTRIAS JAYAN, S.L","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","1.980,00"
"INES Y YOLANDA JARA LUSARRETA","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","1.980,00"
"LACTEOS GOSHUA S.L","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","1.980,00"
"MOLINOS COLL 2005, S.L","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","1.980,00"
"OSTAITZ, S.L","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","1.980,00"
"RAFARRANZ, SL","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","1.980,00"
"SCHNEIDER ELECTRIC ESPAÑA, S.A","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","7.920,00"
"SERVICIO NAVARRO DE EMPLEO","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","84.639,01"
"SERVICIO NAVARRO DE EMPLEO","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","9.900,00"
"SERVICIO NAVARRO DE EMPLEO","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","792.596,44"
"SERVICIO NAVARRO DE EMPLEO","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.101.598,62"
"SERVICIOS INSERLANTXO, S.L","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","1.980,00"
"TALLUNCE, S.L","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","1.980,00"
"TEDER","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","56.557,37"
"TRW AUTOMOTIVE ESPAÑA, S.L","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","5.940,00"
"UVE S.A","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","1.980,00"
"ZEROA MULTIMEDIA, S.A","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","1.980,00"
