"Provider Name","Project Title","Funding","Subcontractor","Contract Start Date","Contract End Date"
"LCDP ","Community Learning for Life 
� A Step in the Right 
Direction ","ﾣ60,000.00 ","N/A ",01/10/08,31/12/10
"Building NewLinks Ltd ","Building NewLinks ","ﾣ36,384.00 ","N/A ",01/10/08,31/12/10
"The Firebird Trust ","ART Works ","ﾣ51,835.00 ","N/A ",01/09/08,31/12/10
"Axiom Housing Trust ","Future Focus ","ﾣ41,420.00 ","CG Partnerships ",01/09/08,31/12/10
"Bridge Farm Nursery ","Learning through Horticulture","ﾣ85,962.50","N/A ",01/09/08,31/12/10
"Lincoln Pelican Trust Ltd ","Skills for Working Life ","ﾣ78,000.00 ","Seagull Recycling Ltd ",04/08/08,30/06/10
"Mencap Pathways 
Derbyshire ","Progression to work in 
Derbyshire ","ﾣ1,221,818.00  ",,"1 October 
2008","31 December 
2010"
"McIntyre ","Derbyshire County Council & 
McIntyre Partnership ","ﾣ1,493,333 ",,01/04/08,"31 December 
2010"
"APEX, Leicester Project 
Ltd ","Stick2it (Employment Support 
Services) ","ﾣ192,423.00 ",,"1 September 
2008",31/08/10
"Employment 
Opportunities ","Valueability (People With 
Disabilities) ","ﾣ90,334.00 ",,"1 September 
2008",31/08/10
"Jobs, Education & 
Training ","Raising Aspirations ","ﾣ117,000.00 ","University of Derby, Shaw Trust, Acorn Training","1 September 
2008","30 September 
2010"
"NBV Ltd ","Enterprise Outreach ","ﾣ388,637.00  ","Grimsby & 
Cleethorpes 
Enterprise Agency, Welland Enterprise Agency, South Humber Business Enterprise Centre",01/09/08,31/12/10
"Lincoln College ","Planning for Growth ","ﾣ388,637.00  ","Success Matrix ","TBC ","TBC "
"Lincolnshire CDA ","Opportunities Programme 
for Social Growth ","ﾣ130,300.00  ","The Priority Centre ",01/10/08,30/09/08
"LCVYS ","Improving Service Quality in 
the Voluntary Sector ","ﾣ151,860.00  ","South Lincs CVS, Lincoln Diocese Youth Service, SOVA, Lincs CC Youth Service",01/10/08,30/11/10
"Urban Challenge Ltd ","Tendering Opportunities for 
the Third Sector ","ﾣ388,636.00  ","South Lincs CVS, Community Links, Voluntary Action East Lindsey",13/08/08,31/12/10
"Somali Development 
Services Ltd ","Foundation to Success 
(Childcare) ","ﾣ94,545.00 ","N/A ",01/09/08,31/08/10
"Bangladesh Youth & Cultural 
Shomiti ","BYCS ","ﾣ68,668.00 ","Pakistan Youth and Community Association, Business 2 Business",01/09/08,31/08/10
"Jobs, Education & Training ","Avenues for Advancement ","ﾣ102,600.00  ","University of Derby, Shaw Trust, Acorn Training",01/09/08,30/09/10
